1,3
5,1
6,4
7,2
9,4
10,1
13,4
15,4
16,3
17,1
18,3
19,2
20,2
21,4
25,4
27,1
29,2
30,1
37,4
42,2
43,1
44,4
46,2
47,3
48,2
53,4
54,2
58,2
59,3
62,3
66,3
67,1
68,2
71,4
73,2
76,2
79,2
86,4
88,2
89,2
90,1
94,1
96,1
100,2
101,1
104,1
105,4
110,2
111,1
112,2
113,2
117,1
118,3
119,2
121,2
122,2
123,4
126,4
127,4
131,2
144,2
146,1
148,1
149,2
150,2
151,2
154,2
155,1
157,1
161,1
164,1
169,4
170,2
171,2
174,4
175,4
176,2
177,2
178,2
180,2
181,3
183,4
184,1
185,1
192,3
194,2
195,2
196,2
198,2
200,2
201,1
204,2
207,4
208,1
209,1
210,3
211,4
221,99
224,1
228,1
229,4
230,1
233,1
237,2
238,1
241,3
255,1
262,1
263,3
264,4
265,99
266,3
269,4
271,1
273,2
275,2
280,1
285,1
288,4
289,3
292,1
293,1
302,2
303,4
305,1
306,2
307,2
309,2
315,2
316,2
317,2
318,4
320,1
321,3
322,4
331,3
332,4
338,2
340,2
341,1
343,2
347,2
351,2
352,2
353,1
357,3
358,2
360,2
362,99
366,1
367,1
370,1
372,4
374,2
375,2
378,3
381,4
382,2
383,4
384,4
386,4
388,1
390,4
396,4
397,3
398,4
399,1
401,1
402,3
403,1
406,2
407,1
408,4
409,2
410,4
411,1
412,4
419,3
420,3
421,4
427,3
428,4
429,1
431,2
432,4
438,2
439,1
442,1
455,4
457,1
459,1
461,3
462,4
465,3
466,2
467,4
469,2
470,2
474,1
476,2
480,3
484,2
486,4
487,4
488,2
489,2
492,3
493,2
494,2
495,4
499,3
500,2
501,4
502,4
503,1
505,1
506,2
507,3
508,1
510,1
511,2
512,1
514,2
517,1
519,4
524,3
525,3
527,1
528,3
529,1
531,2
532,4
537,1
540,3
544,4
546,1
548,1
558,2
559,4
560,2
561,4
563,3
566,3
567,2
568,2
570,2
571,3
575,3
581,1
582,4
584,2
586,1
595,2
597,1
598,2
599,4
600,1
604,1
606,2
607,3
608,1
609,3
613,1
614,4
615,3
623,2
626,4
627,2
628,1
630,1
632,4
635,2
636,1
637,4
647,1
648,1
649,1
650,2
651,2
654,2
659,1
660,2
661,1
665,2
668,2
670,2
672,4
673,1
674,1
679,2
683,3
685,2
686,1
688,1
690,1
692,1
694,2
695,1
696,1
701,4
703,2
709,2
712,1
713,2
715,3
716,3
718,99
721,1
722,2
723,1
724,3
728,4
730,4
731,1
734,2
737,3
738,2
740,3
742,4
743,4
744,3
749,3
750,2
752,2
753,1
755,1
757,1
758,1
765,2
766,2
767,3
768,1
769,1
771,4
772,3
777,2
778,2
782,2
784,2
785,1
789,3
800,2
802,4
803,1
809,2
810,3
812,4
813,2
814,1
815,1
816,2
818,1
819,3
824,2
826,3
828,2
831,4
832,1
833,2
840,2
843,1
844,2
845,1
846,1
848,1
849,3
850,3
860,2
863,4
867,3
869,1
870,2
873,1
874,1
875,2
882,2
888,2
891,3
892,2
893,2
895,1
900,3
